S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
6480000000,-15.95705634595956
6490000000,-15.87946476442754
6500000000,-15.8008775098688
6510000000,-15.72149981166588
6520000000,-15.64152396554248
6530000000,-15.56112952454903
6540000000,-15.48048358960397
6550000000,-15.39974117990879
6560000000,-15.31904566557053
6570000000,-15.23852924682177
6580000000,-15.15831346618861
6590000000,-15.07850974189805
6600000000,-14.99921991258244
6610000000,-14.92053678498068
6620000000,-14.84254467782711
6630000000,-14.76531995640121
6640000000,-14.68893155340715
6650000000,-14.61344147282151
6660000000,-14.53890527422685
6670000000,-14.46537253586246
6680000000,-14.39288729526466
6690000000,-14.3214884668294
6700000000,-14.25121023607699
6710000000,-14.18208243073949
6720000000,-14.11413086903128
6730000000,-14.04737768566483
6740000000,-13.98184163635722
6750000000,-13.9175383816733
6760000000,-13.85448075112314
6770000000,-13.79267898847739
6780000000,-13.73214097931435
6790000000,-13.67287246180744
6800000000,-13.61487722172453
6810000000,-13.55815727266778
6820000000,-13.50271302247186
6830000000,-13.44854342670201
6840000000,-13.39564613012817
6850000000,-13.34401759702567
6860000000,-13.29365323109666
6870000000,-13.24454748577478
6880000000,-13.19669396562485
6890000000,-13.15008551949784
6900000000,-13.1047143260936
6910000000,-13.06057197249249
6920000000,-13.01764952621398
6930000000,-12.97593760131267
6940000000,-12.9354264190016
6950000000,-12.89610586320225
6960000000,-12.85796553148233
6970000000,-12.82099478172455
6980000000,-12.78518277488895
6990000000,-12.75051851420893
7000000000,-12.71699088109444
7010000000,-12.68458866804542
7020000000,-12.65330060883151
7030000000,-12.62311540616077
7040000000,-12.59402175708422
7050000000,-12.56600837631119
7060000000,-12.53906401766217
7070000000,-12.51317749379592
7080000000,-12.48833769440721
7090000000,-12.46453360302798
7100000000,-12.44175431257694
7110000000,-12.41998903978848
7120000000,-12.39922713864599
7130000000,-12.37945811292949
7140000000,-12.36067162798405
7150000000,-12.34285752180605
7160000000,-12.326005815537
7170000000,-12.31010672347636
7180000000,-12.29515066264051
7190000000,-12.28112826200869
7200000000,-12.26803037148119
7210000000,-12.2558480706361
7220000000,-12.24457267734081
7230000000,-12.23419575629149
7240000000,-12.22470912752065
7250000000,-12.21610487493529
7260000000,-12.20837535492988
7270000000,-12.20151320513977
7280000000,-12.19551135334004
7290000000,-12.1903630265774
7300000000,-12.18606176054035
7310000000,-12.1826014092087
7320000000,-12.17997615482246
7330000000,-12.17818051818778
7340000000,-12.17720936934259
7350000000,-12.1770579386107
7360000000,-12.17772182803899
7370000000,-12.1791970232363
7380000000,-12.18147990562296
7390000000,-12.18456726505156
7400000000,-12.18845631282813
7410000000,-12.19314469506289
7420000000,-12.19863050634612
7430000000,-12.20491230369263
7440000000,-12.21198912066691
7450000000,-12.21986048165816
7460000000,-12.22852641614776
7470000000,-12.23798747290475
7480000000,-12.24824473392432
7490000000,-12.25929982796602
7500000000,-12.2711549434746
7510000000,-12.28381284067149
7520000000,-12.29727686251795
7530000000,-12.31155094426294
7540000000,-12.32663962119833
