freq	dB(S(2,1))
4.67010000000000060E10	-5.21336836246064990E1
4.68010000000000040E10	-5.21911664165224650E1
4.69010000000000020E10	-5.22485189011206330E1
4.70010000000000080E10	-5.23057416835837860E1
4.71010000000000060E10	-5.23628353647941310E1
4.72010000000000040E10	-5.24198005413746770E1
4.73010000000000020E10	-5.24766378057300910E1
4.74010000000000000E10	-5.25333477460870670E1
4.75010000000000070E10	-5.25899309465342670E1
4.76010000000000040E10	-5.26463879870616670E1
4.77010000000000110E10	-5.27027194435995220E1
4.78010000000000000E10	-5.27589258880568670E1
4.79010000000000070E10	-5.28150078883594710E1
4.80010000000000050E10	-5.28709660084874060E1
4.81010000000000030E10	-5.29268008085121530E1
4.82010000000000090E10	-5.29825128446333070E1
4.83009999999999980E10	-5.30381026692147190E1
4.84010000000000050E10	-5.30935708308204020E1
4.85010000000000030E10	-5.31489178742498060E1
4.86010000000000100E10	-5.32041443405728560E1
4.87010000000000080E10	-5.32592507671644990E1
4.88010000000000050E10	-5.33142376877388100E1
4.89010000000000030E10	-5.33691056323827780E1
4.90010000000000010E10	-5.34238551275896520E1
4.91010000000000080E10	-5.34784866962918760E1
4.92010000000000060E10	-5.35330008578937380E1
4.93010000000000040E10	-5.35873981283035410E1
4.94010000000000020E10	-5.36416790199654510E1
4.95010000000000080E10	-5.36958440418909430E1
4.96010000000000060E10	-5.37498936996899430E1
4.97010000000000040E10	-5.38038284956016000E1
4.98010000000000020E10	-5.38576489285246130E1
4.99010000000000000E10	-5.39113554940473700E1
5.00010000000000070E10	-5.39649486844775960E1
5.01010000000000040E10	-5.40184289888717830E1
5.02010000000000110E10	-5.40717968930642010E1
5.03010000000000000E10	-5.41250528796956230E1
5.04010000000000070E10	-5.41781974282417430E1
5.05010000000000050E10	-5.42312310150412010E1
5.06010000000000030E10	-5.42841541133233820E1
5.07010000000000090E10	-5.43369671932358590E1
5.08009999999999980E10	-5.43896707218715300E1
5.09010000000000050E10	-5.44422651632954670E1
5.10010000000000030E10	-5.44947509785714250E1
5.11010000000000100E10	-5.45471286257881530E1
5.12009999999999990E10	-5.45993985600853020E1
5.13010000000000050E10	-5.46515612336791360E1
5.14009999999999940E10	-5.47036170958878910E1
5.15010000000000010E10	-5.47555665931568750E1
5.16009999999999990E10	-5.48074101690833880E1
5.17009999999999970E10	-5.48591482644411600E1
5.18010000000000040E10	-5.49107813172047800E1
5.19009999999999930E10	-5.49623097625736270E1
5.20009999999999990E10	-5.50137340329957070E1
5.21009999999999970E10	-5.50650545581911470E1
5.22010000000000040E10	-5.51162717651754350E1
5.23010000000000020E10	-5.51673860782824830E1
5.24010000000000000E10	-5.52183979191873680E1
5.25009999999999980E10	-5.52693077069288030E1
5.26009999999999960E10	-5.53201158579315070E1
5.27010000000000020E10	-5.53708227860281800E1
5.28010000000000000E10	-5.54214289024813220E1
5.29009999999999980E10	-5.54719346160048230E1
5.30009999999999960E10	-5.55223403327853140E1
5.31010000000000030E10	-5.55726464565032520E1
5.32010000000000010E10	-5.56228533883538740E1
5.33009999999999980E10	-5.56729615270677950E1
5.34009999999999960E10	-5.57229712689315360E1
5.35009999999999940E10	-5.57728830078077650E1
5.36010000000000010E10	-5.58226971351552950E1
5.37009999999999990E10	-5.58724140400489140E1
5.38010000000000050E10	-5.59220341091990480E1
5.39009999999999940E10	-5.59715577269711150E1
5.40010000000000010E10	-5.60209852754047780E1
5.41009999999999990E10	-5.60703171342329300E1
5.42009999999999970E10	-5.61195536809005620E1
5.43010000000000040E10	-5.61686952905833170E1
5.44009999999999930E10	-5.62177423362059780E1
5.45009999999999990E10	-5.62666951884607070E1
5.46009999999999970E10	-5.63155542158250460E1
5.47010000000000040E10	-5.63643197845798570E1
5.48010000000000020E10	-5.64129922588269840E1
5.49010000000000000E10	-5.64615720005067520E1
5.50009999999999980E10	-5.65100593694153290E1
5.51009999999999960E10	-5.65584547232218520E1
5.52010000000000020E10	-5.66067584174854140E1
5.53010000000000000E10	-5.66549708056719140E1
5.54009999999999980E10	-5.67030922391706580E1
5.55009999999999960E10	-5.67511230673108450E1
5.56010000000000030E10	-5.67990636373778910E1
5.57010000000000010E10	-5.68469142946295670E1
5.58009999999999980E10	-5.68946753823119790E1
5.59009999999999960E10	-5.69423472416754170E1
5.60009999999999940E10	-5.69899302119900140E1
5.61010000000000010E10	-5.70374246305612510E1
5.62009999999999990E10	-5.70848308327453320E1
5.63010000000000050E10	-5.71321491519643840E1
5.64009999999999940E10	-5.71793799197215340E1
5.65010000000000010E10	-5.72265234656157950E1
5.66009999999999990E10	-5.72735801173568770E1
5.67009999999999970E10	-5.73205502007797390E1
5.68010000000000040E10	-5.73674340398591460E1
5.69009999999999930E10	-5.74142319567239310E1
5.70009999999999990E10	-5.74609442716712590E1
5.71009999999999970E10	-5.75075713031806490E1
5.72010000000000040E10	-5.75541133679278790E1
5.73010000000000020E10	-5.76005707807988540E1
5.74010000000000000E10	-5.76469438549031650E1
5.75009999999999980E10	-5.76932329015876720E1
5.76009999999999960E10	-5.77394382304498950E1
5.77010000000000020E10	-5.77855601493512690E1
5.78010000000000000E10	-5.78315989644302690E1
5.79009999999999980E10	-5.78775549801154380E1
5.80009999999999960E10	-5.79234284991383050E1
5.81010000000000030E10	-5.79692198225460850E1
